"","batch1","batch2"
"930","M388T553","M388T580"
"931","M388T607","M388T623"
"932","M389T120","M389T144"
"933","M389T502","M389T590"
"934","M389T439","M389T459"
"935","M389T678","M389T691"
"936","M390T574","M390T600"
"937","M390T447","M390T475"
"938","M390T519","M390T556"
"939","M390T370","M390T393"
"940","M391T576","M391T601"
"941","M391T516","M391T529"
"942","M392T577","M392T600"
"943","M392T500","M392T526"
"944","M392T710","M392T707"
"945","M393T467","M393T419"
"946","M394T753","M394T768"
"947","M395T280","M395T192"
"948","M395T529","M395T553"
"949","M395T635","M395T649"
"950","M395T807","M395T803"
"951","M395T295","M395T309"
"952","M395T772","M395T768"
"953","M396T206","M396T304"
"954","M396T280","M396T218"
"955","M396T95","M396T98"
"956","M396T805","M396T802"
"957","M396T295","M396T307"
"958","M397T483","M397T552"
"959","M397T619","M397T625"
"960","M398T406","M398T432"
"961","M398T496","M398T534"
"962","M398T852","M398T851"
"963","M398T331","M398T341"
"964","M399T547","M399T566"
"965","M399T286","M399T196"
"966","M400T406","M400T411"
"967","M400T548","M400T580"
"968","M400T459","M400T461"
"969","M400T324","M400T342"
"970","M401T606","M401T521"
"971","M401T667","M401T651"
"972","M402T358","M402T306"
"973","M402T609","M402T663"
"974","M402T480","M402T499"
"975","M402T304","M402T310"
"976","M404T619","M404T554"
"977","M405T472","M405T439"
"978","M405T312","M405T326"
"979","M405T772","M405T680"
"980","M405T140","M405T105"
"981","M405T597","M405T604"
"982","M406T181","M406T183"
"983","M406T495","M406T504"
"984","M406T617","M406T617"
"985","M406T321","M406T342"
"986","M407T350","M407T294"
"987","M407T276","M407T394"
"988","M407T574","M407T581"
